,Basis_Action_1,Basis_Action_2,Basis_Action_3,Basis_Action_4,Basis_Action_5,Basis_Action_6,Basis_Action_7,Basis_Action_8
0,90.49585272926922,1.625989889264369e-05,90.49585306056204,5.570129012125637e-08,1.5225586598790252e-05,7.076761440777288e-07,1.5749241483860914e-05,1.4285343525412677e-05
1,12.148319833762995,36.43044428825079,38.3736117917266,4.5985046126062775e-08,12.148317458159386,36.43044422464463,12.148319341531813,8.7349071084188e-07
2,78.36204509898734,12.148319073165977,104.58732176182863,3.816820339332988e-08,12.148319033873543,12.14831787070884,12.148318640610619,3.0589934675849976e-07
3,12.133809701462487,12.133810078142838,12.133810287517726,6.053262655243511e-08,1.4808139808830768e-05,12.133809422022392,12.133809571813758,1.527564555095738e-05
4,24.28212746404487,24.282141474983707,24.282143090459996,6.351813383306849e-08,1.3649872440225216e-05,24.282127061611934,1.6450162674236413e-05,1.4852934889290018e-05
5,36.76083018720141,252.77151177253197,36.76083032365798,3.1759056806732824e-07,36.760830092033174,1.4776814518288429e-07,3.173570658859407e-08,36.76082978133185
6,37.04372925760823,37.043730219508554,37.04373033849838,4.1198782614770095e-08,0.28290422150258493,35.10057561516237,37.0437290417961,22.95224178913004
7,32.762151915819146,224.49072343992316,41.35452648450394,2.818312839771331e-07,6.536865128845196,4.593699676331158,6.536866404526408,41.354526137488946
8,5.8260104542745196e-05,26.225333710816937,26.22533395023067,5.5715234462885825e-08,6.049980002365515e-07,3.760751659198272e-07,3.305284094121759e-06,3.028526346327521e-06
9,8.592322040201273,69.56114687734949,8.518158419544813,2.7096320680752476e-07,69.56114673497167,3.3858805989820725e-08,8.51815801113381,1.1330511920057996e-06
10,5.02878042435559e-06,28.168509836025503,5.951324360872482e-06,2.2474817185437138e-07,6.131253777843667e-08,4.551644986583531e-06,4.974720578293129e-06,3.817617218065291e-06
11,7.048391342965634e-05,1.5128846903622711e-05,71.60207772238856,7.467680625857053e-06,3.318180590325343e-07,1.4761757752112291e-05,1.5039450241226539e-05,7.691887520973079e-06
12,7.470892966422881e-06,8.872029154415504e-06,9.30637649994115e-06,4.1152187389516386e-08,4.888639154868894e-07,5.645575288146849e-07,9.206421071377836e-06,6.043296656875697e-06
13,2.0711806059303196e-06,24.282112891409923,26.225278988784343,4.299954073880047e-08,12.148318616426751,24.28212658505509,24.282112463182894,1.2962013720257243e-06
14,1.4595367748001088e-05,1.6132494387536607e-05,45.37674834121176,2.3202377048356657e-08,1.6340995549316386e-07,9.591021093862138e-06,1.5954297937216432e-05,1.449008474781837e-05
15,24.28225320272152,8.608134094120691e-05,24.28225337680487,7.540154570423622e-06,1.6329585977261507e-07,7.761937970107771e-05,7.948462810323342e-08,7.394907596353123e-06
16,57.29810248780994,57.29810259260416,59.91592739733931,57.29810233142167,3.1285799294511325e-07,39.46532825907931,39.46532680216221,3.686560571305607e-08
17,101.4826563242677,41.15361515404867,78.73703990606961,3.481101697925619e-08,41.15361310402665,7.506483291965485e-07,58.98639193581079,101.48265617625619
18,12.148389683893955,12.148389898255514,12.148392696894689,7.814323645239949e-08,12.1483038031747,12.148389611675741,12.14830388570146,2.1366064400030128e-07
19,117.62714357397972,57.29810235746849,57.29810502798516,57.29810225154843,5.647630469252727e-08,36.84749426597973,57.29810473995811,20.1277940454648
20,3.843441591102071e-06,39.81538336948487,39.81538317931219,1.0078929519369913e-07,2.109379547691457e-06,2.2459839072287996e-06,31.47355056980278,39.815382649667576
21,1.0579724863470876,48.7601289083561,63.965302003502856,39.72268154380898,4.793203079670382e-08,3.1843676456068975e-07,4.963551989849539e-07,1.0579723756110644
22,1.0128114529245453e-05,1.9431839935902362,1.0688646990349137e-05,7.654663374352823e-06,1.1358655590078536e-07,9.910864008413074e-06,9.961009859201097e-06,3.41903013702799e-08
23,9.530480623851652,61.00114174429525,49.306327689249905,2.3999703826131636e-08,1.7096626975417635e-07,9.53048053637159,49.306327551852554,61.00114167141741
24,11.655293651151952,11.655283451423005,25.293271178662092,2.3180985345315073e-08,11.655283073623849,11.655283415799243,7.16165167298754e-07,4.7539769442796073e-07
25,21.185773088783577,34.784216947794484,34.78421707087029,7.559902581898508e-06,11.65528075993321,21.1857710524934,17.83277845280373,21.185753488041172
26,26.851996035488376,8.627839878552336,77.09257493451894,1.8308636743207503e-06,3.847882114339889e-08,8.627839372008088,26.851995902814675,8.627839714579709
27,66.57951620720102,3.7603386288094005,3.7603385431898126,6.396745097173836e-08,3.9669870562603386e-07,3.760338413194233,66.57951608569398,3.760337911917492
28,9.509998032246386e-07,3.208147056537241e-07,9.232834762340671e-07,43.99999273201965,53.284754246399565,43.999992519280696,3.5433120492201246e-08,2.6178089183674946
29,17.09301393375553,74.9026560253763,29.711147422948223,17.093013608470933,5.0178851285948533e-08,2.6178434584463353,74.90265718314932,17.093013889353124
30,4.593697000143126,39.33718241953212,39.337182579297085,6.61709860482079e-08,39.33718231546916,4.593695386852,15.055022714488025,4.593696700117415
31,24.856490899703573,15.221252299170226,24.856490981464354,5.2634911574882786e-08,9.284750851725537,15.221252069878147,9.284752881465714,9.284752558020264
32,34.817660663506125,34.81766021792242,34.817660749461574,6.290245825346088e-08,34.8176601214539,3.7881778398098227e-07,8.136763153648889e-07,2.2027959767806884
33,2.1108738186094365e-06,37.7833953133721,69.07633633852782,1.9748369195120775e-06,4.8791981290463554e-08,37.783395072454965,37.78339524594455,4.965825114013313e-07
34,53.17621515927237,53.176215738850246,18.358565476385813,9.449115518279436e-08,18.358565376403615,18.358558923566665,18.358559777636255,18.358559412417126
35,16.74202332084032,16.74202251626395,50.24845611387088,3.338830238980358e-08,13.87844648036527,16.7420224028482,16.74201924831643,3.932860524300868
36,2.8636182442167475,2.8636196839450703,4.174837210482762,2.8102432371152173e-08,2.863557899171628,2.6964990059199513e-07,2.863618151655421,2.8636180036298904
37,0.9204668032150886,0.9204675016282937,0.9204677127794989,5.188064993048503e-08,5.412984028424709e-06,5.602084607383391e-06,0.920467322135697,1.744371564776417e-07
38,4.174767403989047,4.174767597757913,4.174771629278189,3.506905084461989e-08,2.863552770677586,0.9203965329262916,2.8635529186734896,3.784019468403462
39,12.081509277696668,32.2284809778311,32.228481180816225,2.1330092756506856e-08,8.362481686133388e-08,32.228481099287805,10.010998493309682,3.5205443595691084
40,8.944114063498045,8.944120814521888,40.23706756290766,2.05532349208083e-06,4.23835142040954e-08,3.011985405071954e-06,40.237067430387874,8.944113956581315
41,71.37411127940929,17.924538105927876,17.924538245567216,2.8035077072995175e-07,1.0071205330814553e-07,17.924537948347826,1.2534162577437175e-06,1.1865670269015304e-06
42,34.10550080702144,34.10550102646208,34.105501134207664,1.9025364849416887e-06,4.223576555241339e-08,9.315248754912826,132.88218949995255,2.0489294827094215e-07
43,76.91288071492733,8.849086398506621,8.849086917106852,3.465246595248501e-07,4.271406378358461e-08,8.84908630550333,1.3947657826919265e-05,9.316679879630249e-07
44,16.46764188013533,4.650897669515503e-06,16.46764202577852,2.7513047130688073e-08,3.142693353497374e-07,2.297441324898455e-06,16.467641366814878,4.556409261058725e-06
45,8.077354791289657e-06,141.86683333991456,27.10844067114694,2.7125456303051557e-08,1.578667928292556e-06,2.0486341974879897e-06,2.1249316158649127e-06,27.108440640338547
46,39.72267327327923,39.72267411532461,39.72267444430083,39.72267407871399,12.148305369842458,2.7245549436848656e-08,12.14830525831816,1.812134792574389e-07
47,8.136594033696103e-07,9.199481047274218e-07,9.795408037984262e-07,2.0442385550408566e-08,1.1011232597216125e-07,4.2518852344872566e-07,2.4791436027838007e-07,6.62165505451361e-07
48,9.735657760735368,25.24680765471876,25.24680786123544,1.8824976291145639e-07,9.735650682669569,9.735654942730806,9.735657630312307,25.246807525656845
49,24.842542628966747,69.62090637590966,261.2366679138751,5.8927342925083465e-08,24.84254248710526,24.842541849942513,24.84254141222013,2.922594728942673e-07
50,17.093014044691945,17.093014104343816,17.093014620935836,17.093013796429524,1.4139916748858057e-06,1.4964400811374227e-07,4.31439706743837e-06,2.1782587338604906e-08
51,43.34631743595033,55.9336759799851,43.34632507674174,3.153040494913614e-08,15.217034131683759,12.353493598520775,68.50179292321411,43.34631633514913
52,17.143020841862256,49.74717896002521,17.143021181134312,3.699508972962153e-08,17.14302047867306,1.0064986186462923,17.143014198732782,4.857214204698571e-07
53,41.15361523809791,41.153615389184345,81.35486227542376,1.1468425557607597e-07,41.15361336040834,2.617834743747904,41.15361399801488,81.35486216765698
54,73.89658360334353,73.89658385674522,262.8945231954241,3.8974447040744133e-08,22.22471022371426,22.224710808869155,22.224711093762526,22.224711032167615
55,331.43011710225795,331.43011760120135,331.4301178208869,320.15511685181525,2.61783203965796,4.5316416119682745e-08,227.45573133306561,331.4301175374551
56,5.492243689730822e-06,28.129271455435713,28.12927121100701,8.596538384564198e-08,1.1955066920996898e-06,5.373028994626521e-06,28.129270958325954,1.585572028591336e-06
57,50.75368062801363,22.624405364259054,22.624405594628225,6.823432248917545e-08,22.624405291500068,1.0064939656339342,1.0064966228823327,1.0064954276431666
58,8.870504241554032,8.870503187599374,8.87050438666473,3.428907685438236e-08,4.3956105246716595,4.395610785829058,8.870497415428755,8.870503060797153
59,320.155116990465,335.7057953171726,335.70579547178994,320.1551169117356,3.2648648850424894e-08,2.9973426317202006e-06,207.00512307681214,333.527034268764
60,26.013527639813773,9.876996396371268,26.013517985387132,1.239806479374042e-07,9.876996218736029,4.3956092084043705,4.395609431089378,9.876995031881666
61,5.864090347987159e-07,75.89868193309441,5.524947127883385,2.2388260008367735e-07,2.8977493899910988e-08,4.297154161701093e-07,4.74623904722969e-07,48.765727219079174
62,66.13604936282898,2.8673632767761164e-07,43.402119871351516,43.40211976236128,15.613068295797952,8.821380696952448e-08,43.40211999758167,2.1272623251386044e-07
63,51.869133761596984,62.70423332835377,51.869135734503686,43.40212011643656,3.741368459853131e-08,1.8060889248951533e-06,1.7442435059635168e-06,51.86913568721559
64,7.000959227914159,78.4486395738208,7.000959304995251,4.358330131657162e-08,7.000954620535917,7.000952626777345,7.000956115759682,7.000959176642396
65,19.769161265743424,13.385062755216476,46.682813373583755,2.0311237673731024e-07,3.350343324670679e-08,5.89837199613038e-07,13.385062595285277,46.682809636229784
66,51.96239571649614,143.98769451701392,14.403993431135499,9.844332191350035e-08,3.4329818128622914e-07,14.403992608283048,14.403992464949058,14.403992879237908
67,20.134939474107778,18.47661981622011,18.47662251435669,1.941921965114287e-08,18.476621974416815,8.64418260036934e-08,18.476622487369184,4.4698326762484063e-07
68,65.25419628370506,65.25419653739687,43.40212159927298,43.40212004027018,3.727068504549869e-08,2.266190268978088e-07,13.385065108150988,43.402120171350916
69,8.287734271598037,4.137403016644611,58.71510641704553,7.165822979787125e-08,4.1374021641119,4.137402373791345,4.137402696363733,33.78961059617706
70,15.486851794802861,12.464658186402138,12.464663733656424,3.5642777269913384e-08,1.352143395583813e-07,3.5205406816627365,12.464657983511435,12.464658074466954
71,72.50224907780908,11.54044068680382,57.48632411431699,3.967209142625431e-07,2.4095788365798555e-08,11.5404405315099,4.518559984929315e-06,57.48632406404197
72,27.83411534495352,34.218213008456985,65.90722384571924,1.980586121821355e-08,12.464660406629262,15.32821773135251,1.3388271678297863e-07,2.578985279764777e-07
73,2.231615962987387,2.2316154154411376,0.9204021315749271,5.884727066113472e-08,2.844899866273227e-07,0.920401865360999,0.9204020891537651,0.920401639210728
74,13.385057385140472,13.385057186899784,56.62583968592633,9.897946286578129e-08,7.000954625204857,7.000954366369028,7.000954872513573,13.385057109657685
75,36.161370666558135,36.16137075909046,59.218567031079914,1.0016055353414935e-07,8.327258301115437,8.327258622385974,8.327258686174147,36.161370613663365
76,4.071271382616474,279.3546902256961,295.3893338610996,281.2978680236357,4.071271161200041,8.975418753967202e-08,3.718060972500868e-08,4.071268972681933
77,278.95139952536755,312.0038337684106,310.06065660363805,2.943355879264991e-08,7.364403228804977e-07,277.00821905183557,310.06065650182774,272.9369493604616
78,6.014451847195031,281.2978677581286,281.29786840784016,281.297867720949,2.591441608912678e-06,1.602191104621658e-07,5.573199511662989e-07,2.7115292063309243e-07
79,43.58643311039035,43.58643615477392,59.621079308258345,3.298240026469052e-07,4.0712692964674675,43.58643302994276,43.58643266597867,43.5864328647931
80,277.00821906078903,310.0606562359781,324.15212205689755,3.3212027546003246e-07,4.071269306198756,277.0082189813706,310.06065598168834,277.00821806199065
81,43.96960276889602,3.8863333221948912,122.22284110847868,2.7942849588454513e-08,3.886329253540647,3.245792644854698e-07,3.8863332882665382,43.96960271871042
82,274.0504265289952,310.2473568427483,310.24735698665273,3.3885609572826374e-08,20.985330158928818,274.05042239339053,274.05042648408175,20.985330635443685
83,24.65244285506989,20.76610657705418,118.94032547721415,1.7626247275992848e-07,7.957596607084662,20.766106400274715,24.652442904142074,68.80695145683093
84,3.8863651240820514,8.552259253654361,237.8987352506723,8.933158263508103e-08,3.8863649546561305,4.131407302613935e-07,8.552284730165606,3.8863630080240275
85,48.82042999783239,4.07124103579524,53.8109671968377,3.502117011056524e-08,5.688742466959289e-07,7.792025380158975e-07,4.071240984897445,1.0488784281944876e-06
86,16.694837052061093,12.80847484432333,266.74185272660577,2.129739267371433e-07,3.760223314242546e-08,12.808474731154677,16.694836964372037,12.028914718149384
87,20.70061818381967,1.5989413712333393e-05,3.776415050798881e-05,1.4115832733300777e-07,1.4598277748221247e-05,1.572870644291667e-05,1.4972183179723053e-05,1.5333080843327394e-05
88,9.021181198985461e-07,8.552260518439823,8.552260673472116,2.864509274800519e-08,8.552260399997401,5.243901104656115e-07,149.99998688305226,1.7096709249781324e-07
89,45.52961357496891,45.52961368720635,45.52961385499892,2.713727539467927e-08,7.267090357576207e-07,43.58643310040768,43.586433186118015,39.51516416326409
90,28.84318091402711,8.14258092800373,28.843181162281244,2.4376922250465325e-08,2.0323254863104048e-07,8.142580887284767,8.142567347231099,8.14256716423619
91,4.0712838942968155,4.071284853247038,4.071285117545041,4.071283767754374,4.071282994618505,4.071256269320496,4.071283530471285,4.180957797699688e-07
92,8.40581277697873,14.339788552154248,45.989237171563055,4.664836366135458e-08,5.306854394214261e-07,1.9828013023236396e-06,3.3183749194322367e-06,2.7568555837454823e-06
93,155.8145692203139,164.22037950429268,164.22037967237816,5.219946560077516e-08,164.22037811227142,1.3274107110706047e-05,164.22037822038826,1.4012307331016876e-05
94,14.157027089082812,14.157027324269487,18.822963062416356,4.071283348286242,2.981487371137214e-08,12.21382149836374,12.213836425658554,4.071283547722115
95,1.5952715201821566e-05,1.6063317575003982e-05,45.98925037600014,4.328720327763715e-08,1.3985287279859905e-05,2.794429313859464e-06,1.5541126255231814e-05,1.587421007367027e-05
96,33.31966646356041,33.31966651523443,3.369486000861149e-06,3.158223470354411e-08,75.75289393688935,2.2177931995461093e-07,4.7180434384322194e-07,10.680398435611309
97,2.7396700178753454e-05,2.7489441329504816e-05,2.7729427461361824e-05,4.6650436014593307e-07,7.055565826700431e-08,2.604619843554957e-05,2.7194015597679016e-05,2.7094238956061266e-05
98,4.6659100998897305,4.665911170518773,8.552234751274863,2.690688420806014e-07,4.665909877988703,4.665909683825737,149.9999867422108,4.9937103862300315e-08
99,8.142592474442473,14.751721800056812,14.751721305509458,5.000046772165916e-08,8.14259191317006,8.142592161658367,8.14259238699769,14.751721203209295
100,33.31966748123917,35.26279882864856,1.662038221030249e-06,2.5223620191478626e-08,79.63924587671063,7.661001993172933e-07,1.6183405172204718e-06,9.70657892711767e-07
101,12.808502689892851,12.808504765549895,14.751693675864429,2.8406560291546533e-07,8.14259333098264,12.808501865414874,8.142593392692387,4.071323617225891
102,3.7102898882848216e-06,2.869574716210676e-06,3.880387381668142e-06,2.6503005981741876e-07,6.355178423536259e-08,2.0769608325292016e-06,6.457486727184857e-07,2.4508198366602824e-06
103,10.064111046099265,169.12185343066776,129.1218533925334,3.75206428048628e-08,10.06410869294289,10.064110469600994,10.064110665636052,129.12185333791578
104,28.823748188403563,36.859135900914175,36.85913500016847,28.82374817074607,19.539011289664312,19.53901142444986,36.85913512893007,28.823748070745705
105,1.2435778261984934e-05,2.6358192070552902e-06,40.58365758017451,4.7247158940950516e-07,2.3219969837703944e-06,2.0883800696013216e-06,2.3489477892280476e-06,1.9537798307937271e-07
106,16.694798156027222,16.694798699985558,21.68533408963969,5.969844934712213e-08,7.9576328394721605,7.957632536884043,16.694798366566552,16.69479807687357
107,20.581165107721716,12.028905380717603,20.581165937269652,4.8484332797522574e-08,1.27899162746898e-06,12.028905283273902,8.142551882024582,1.1293946840404762e-06
108,36.196938596640145,6.763818865431327e-06,36.19693874838012,9.376557046512127e-07,1.2820434257060844e-06,3.81409403497319e-07,1.365446510463491e-06,4.199620446718876e-08
109,4.0712835514979,4.0712847720349155,4.071284942299844,4.071282997072325,3.251599836685587e-08,0.7795658109985741,4.071284620650682,4.071283494768429
110,291.42440597824276,291.4244060554566,327.6213380711767,1.8825270334035284e-07,20.98533137514324,253.28431624723015,253.28431634806688,0.2192505988522112
111,20.76611091154518,20.766110630015667,20.766111184042288,8.247380662067699e-07,5.1745283161480146e-08,20.766101133058356,20.76611058632472,20.76607912739787
112,4.1075270577219265e-06,3.0391250804039896e-06,2.6822379713798995e-06,1.52061575513448e-06,4.391460464219473e-08,388.50300915488873,2.588782839198086e-06,1.1109174820583291e-06
113,1.9431558716796806,1.9431561180301802,1.9431562024241165,1.5620652100811655e-06,2.9830881797641e-08,388.50300376037734,1.673646176422578e-06,1.5972767475880776e-07
114,7.339116561561123e-06,6.9209547362003695e-06,7.575043506461246e-06,1.1759530608579349e-07,2.5360688369188243e-06,5.425493337615704e-06,6.841293814874575e-06,6.525003492985967e-06
